system:index,B11_count,B11_max,B11_mean,B11_median,B11_min,B11_p25,B11_p75,B11_stdDev,B12_count,B12_max,B12_mean,B12_median,B12_min,B12_p25,B12_p75,B12_stdDev,B4_count,B4_max,B4_mean,B4_median,B4_min,B4_p25,B4_p75,B4_stdDev,B8_count,B8_max,B8_mean,B8_median,B8_min,B8_p25,B8_p75,B8_stdDev,DEM_count,DEM_max,DEM_mean,DEM_median,DEM_min,DEM_p25,DEM_p75,DEM_stdDev,NDMI_count,NDMI_max,NDMI_mean,NDMI_median,NDMI_min,NDMI_p25,NDMI_p75,NDMI_stdDev,NDVI_count,NDVI_max,NDVI_mean,NDVI_median,NDVI_min,NDVI_p25,NDVI_p75,NDVI_stdDev,VH_count,VH_max,VH_mean,VH_median,VH_min,VH_p25,VH_p75,VH_stdDev,VV_VH_diff_count,VV_VH_diff_max,VV_VH_diff_mean,VV_VH_diff_median,VV_VH_diff_min,VV_VH_diff_p25,VV_VH_diff_p75,VV_VH_diff_stdDev,VV_count,VV_max,VV_mean,VV_median,VV_min,VV_p25,VV_p75,VV_stdDev,crater_name,zone,.geo
0,710,0.2527333199977875,0.03838217104568177,0.02204365184350086,0.014936363324522972,0.01803072518956514,0.0283577382733556,0.050516100580551726,710,0.17858999967575073,0.028982461904167638,0.018082941990760944,0.013620000332593918,0.015179252086607652,0.021977824033877137,0.0342822153952687,710,0.12359999865293503,0.030116870123762247,0.02279592792862931,0.016249999403953552,0.02083600520056412,0.026713784742751424,0.022553935222902634,710,0.23669999837875366,0.040285024543700754,0.022115015704433125,0.01182521041482687,0.01818619038498731,0.030594624435672395,0.05241729699755332,710,331,327.77856852864596,327.99999999999994,326,327.0000000000001,327.99999999999994,1.1384961037704515,710,0.2772309196570554,0.009972264999976683,0.009824976899754853,-0.26092541959075627,-0.04475075632134021,0.060486472080240036,0.08152729954011417,710,0.4682787313381333,0.029992148731400083,-0.006169331017770065,-0.22096328465119391,-0.06780274154332466,0.06827125638454218,0.14728424380160635,710,-17.843318939208984,-25.805124998348877,-26.352541455176798,-29.19656753540039,-27.34053758474497,-25.024127960205078,2.2782394158114756,710,10.36370849609375,6.868505335920584,6.797938753346927,3.4696030616760254,6.234069871902466,7.4546192169995615,0.9903623159884051,710,-10.401373863220215,-18.9366196596867,-19.538812001546223,-23.905996322631836,-20.917342715793186,-17.91019051923466,2.9471848003657573,"Wolfe Creek, Австралия",floor,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,9249,0.38554999232292175,0.28526288920770054,0.29784488851081803,0.019091665744781494,0.26848037109196743,0.3174587941330347,0.060261174021804864,9249,0.342012494802475,0.21164195118879253,0.22156343306843473,0.016100000590085983,0.1963094885426539,0.2373441658983188,0.04829052293447554,9249,0.21279999613761902,0.13879648147308074,0.14211182724240246,0.020016666501760483,0.1205380721923893,0.16061781301170658,0.033362686048856935,9249,0.3269999921321869,0.2353637395927899,0.24114463601618583,0.018039999529719353,0.22366591410599454,0.25876463885575246,0.04536212703761304,9249,378,349.39456328016803,348,326,331,367,17.453295985106667,9249,0.2991621566600482,-0.09187785233193964,-0.09962953482184868,-0.3300226070459215,-0.12291013891787994,-0.0761205889782673,0.05121573839353119,9249,0.4981635167315613,0.2596616123362061,0.2479337032808283,-0.06004952496119186,0.2207146687942233,0.29474594511480995,0.06312634104930694,9249,-11.17760944366455,-19.210837003189088,-19.310056140115282,-27.916765213012695,-20.314085963812282,-18.313236181923727,2.0725739704886568,9249,13.839527130126953,6.694561338637823,6.405287439697449,3.680586814880371,5.594166189969046,7.527857621646161,1.457724794739386,9249,0.38968798518180847,-12.51627567780312,-13.061664449866754,-21.010753631591797,-14.18751980437037,-11.439990918285577,2.6947819437866856,"Wolfe Creek, Австралия",rim_slope,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,9535,0.38554999232292175,0.3294941785067599,0.3293723160975212,0.27114999294281006,0.312149201907164,0.3473334515113923,0.02114081395405166,9535,0.342012494802475,0.26499631275401475,0.2642163579561849,0.18970000743865967,0.2456160646073426,0.28769747956949376,0.027370118650392784,9535,0.24533332884311676,0.1609797056869693,0.15959248310136537,0.11010000109672546,0.146937019551735,0.17438309878453367,0.018025298101753236,9535,0.3240000009536743,0.26176610290711466,0.25920109559455906,0.1931000053882599,0.24758313483386235,0.27771337484597797,0.022870803320500465,9535,375,359.8450644350827,359.99999999999994,349,356.0000000000002,363.0000000000002,4.881349582558065,9535,-0.05268500037294929,-0.11533739639345668,-0.11081201687827584,-0.2368111864601719,-0.13140382117228666,-0.09522006157269979,0.028175911734985994,9535,0.3390371094597935,0.23930991993244125,0.23975644158986467,0.10084907674103494,0.22023358417899241,0.25927342650885044,0.03013698737454381,9535,-16.597230911254883,-20.52282467973107,-20.16087192070178,-25.491912841796875,-21.71786927714524,-19.285643200084753,1.5727728243044823,9535,12.783194541931152,6.364649639310739,6.0306725879432,3.8350038528442383,5.470220350034452,7.09439285430563,1.2501057444393135,9535,-7.418034076690674,-14.158175039735577,-14.220289293821873,-17.61923599243164,-15.02781434599534,-13.469957690137875,1.3342705382142914,"Wolfe Creek, Австралия",ejecta,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,160944,0.4178999960422516,0.31439308284139006,0.31393959379357506,0.2204499989748001,0.30026061027272705,0.32867004518211174,0.022087120579486804,160944,0.3739500045776367,0.2588918255863494,0.2583307803783781,0.15575000643730164,0.24465601588595282,0.2728894911892627,0.022963089047750265,160944,0.25692999362945557,0.1508818648754772,0.15082088995455173,0.07689999788999557,0.1381827561961535,0.16257693552059693,0.018363495545118572,160944,0.3489333391189575,0.24596100683151112,0.24461798326566742,0.17100000381469727,0.23193333030376773,0.2583371622842916,0.021943304084532458,160944,367,350.6828763082795,349.99999999999994,336,346.00000000000085,356.0000000000003,5.897459177868097,160944,0.025217397416922544,-0.12272113399494873,-0.12011454424147903,-0.26150357822896964,-0.1416126775243175,-0.10253998966564551,0.0320834154562201,160944,0.4459654287152947,0.24101234626886536,0.23732136283974115,0.11497964203193262,0.21971819434487358,0.2587654344924465,0.030951073717359837,160944,-16.597074508666992,-21.716489928685053,-21.66305824141062,-27.68898582458496,-22.66330917664309,-20.662096230187842,1.5384041181128782,160944,10.840832710266113,6.44350778057665,6.327868067628968,3.0109879970550537,5.796926232007203,7.01587301332465,0.9215778047792006,160944,-9.422653198242188,-15.27298214873266,-15.281471154471193,-18.834381103515625,-15.906128639191817,-14.593210651827714,0.983104238217372,"Wolfe Creek, Австралия",plain,"{""type"":""MultiPoint"",""coordinates"":[]}"
