system:index,B11_count,B11_max,B11_mean,B11_median,B11_min,B11_p25,B11_p75,B11_stdDev,B12_count,B12_max,B12_mean,B12_median,B12_min,B12_p25,B12_p75,B12_stdDev,B4_count,B4_max,B4_mean,B4_median,B4_min,B4_p25,B4_p75,B4_stdDev,B8_count,B8_max,B8_mean,B8_median,B8_min,B8_p25,B8_p75,B8_stdDev,DEM_count,DEM_max,DEM_mean,DEM_median,DEM_min,DEM_p25,DEM_p75,DEM_stdDev,NDMI_count,NDMI_max,NDMI_mean,NDMI_median,NDMI_min,NDMI_p25,NDMI_p75,NDMI_stdDev,NDVI_count,NDVI_max,NDVI_mean,NDVI_median,NDVI_min,NDVI_p25,NDVI_p75,NDVI_stdDev,VH_count,VH_max,VH_mean,VH_median,VH_min,VH_p25,VH_p75,VH_stdDev,VV_VH_diff_count,VV_VH_diff_max,VV_VH_diff_mean,VV_VH_diff_median,VV_VH_diff_min,VV_VH_diff_p25,VV_VH_diff_p75,VV_VH_diff_stdDev,VV_count,VV_max,VV_mean,VV_median,VV_min,VV_p25,VV_p75,VV_stdDev,crater_name,zone,.geo
0,2633,0.009850000031292439,0.008035760457335615,0.00800000037997961,0.007000000216066837,0.007577222306281328,0.008449999615550041,6.08892964080672E-4,2633,0.00938888918608427,0.007622758579698922,0.007600635053619506,0.006483333185315132,0.007234562928544461,0.007950000464916231,5.134449768840473E-4,2633,0.02850000001490116,0.02602862081606482,0.025954999786335975,0.023666666820645332,0.025470848603165317,0.02659993421185599,8.237328329040867E-4,2633,0.014050000347197056,0.010802118325796401,0.010849375177973084,0.007600000128149986,0.00989999994635582,0.011600535554692063,0.001283745265968884,2633,480,480,480,480,480,480,0,2633,0.26807227927087207,0.1445116423820327,0.1455722080341686,0.003963011238953347,0.11431400186421965,0.1787024998996126,0.04476569905050484,2633,-0.2944162459345937,-0.4151653991402524,-0.41353061125947127,-0.5425131587681169,-0.44376329758306077,-0.3882314655563367,0.04328735552953019,2633,-27.79267120361328,-30.10650125125317,-30.047283331516763,-33.67123794555664,-30.608439968125534,-29.550536555822717,0.8463894381271091,2633,8.619181632995605,4.931149866256541,4.892868820917445,2.320305109024048,4.262975413855252,5.515892963000516,0.9288328290197296,2633,-23.724485397338867,-25.175351377938927,-25.17944581120598,-26.84174156188965,-25.47767578928094,-24.83426103591919,0.4611209832421013,"Lonar, Индия",floor,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,35089,0.35280001163482666,0.17208141732560966,0.22761141127664758,0.007300000172108412,0.016436317220132873,0.26649114090917736,0.1124304576622456,35089,0.27033331990242004,0.11301039446647257,0.1416637055846994,0.006550000049173832,0.01252177372986496,0.17674965264037085,0.07463230945189529,35089,0.2211666703224182,0.07137259077203516,0.06983758445096118,0.022700000554323196,0.028766541873570972,0.10500130769555927,0.04175332190232439,35089,0.42100000381469727,0.17175877106379284,0.22754185819689265,0.007600000128149986,0.022392942765694496,0.25282468052641627,0.11091544090156633,35089,606,524.1015232312413,503,478,479.9999999999997,574,45.55285767908132,35089,0.42678196867938556,0.02689604945207525,-0.0018732219461082675,-0.44133387357911325,-0.06058779513862419,0.12302563549511138,0.12239554001963611,35089,0.8642629905293034,0.2379088770262714,0.3398472447012192,-0.5279502925943714,-0.11324072582435794,0.4882758970216256,0.35584477321314856,35089,-6.942617416381836,-19.433385629312657,-17.315254386199246,-33.795196533203125,-28.063911305533516,-14.439121782579203,6.801583391607532,35089,16.758058547973633,5.951339058673169,5.968980426696758,2.1335396766662598,5.46957781743607,6.469168038852262,0.9221947376156132,35089,0.9982655644416809,-13.482046570630088,-11.060344987419501,-26.833852767944336,-22.435796824368563,-8.435764356967452,7.189237881997339,"Lonar, Индия",rim_slope,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,35665,0.3578000068664551,0.26447396614001534,0.26616876680556767,0.1599999964237213,0.24268169212677243,0.28764019740469216,0.03154511600079883,35665,0.2868250012397766,0.1911223371807459,0.1948047216784263,0.09243333339691162,0.17236978200288358,0.21141499766907854,0.02881672591510333,35665,0.3752000033855438,0.12863186624252407,0.12795562956803658,0.038100000470876694,0.10453567833186078,0.15132275432465214,0.03246866465045175,35665,0.399233341217041,0.2503812970486377,0.24901255178591888,0.14875000715255737,0.2314995686270696,0.2666114482337177,0.025904530398000954,35665,610,585.430337959223,587,534,579,591.9999999999994,9.811109178959777,35665,0.30119537510922556,-0.02628480923464456,-0.044944006596474,-0.22018466434356548,-0.08393383928225547,0.0175478833192093,0.07449260611070796,35665,0.7846280246669889,0.32879970750069826,0.3144573050015913,0.011224891993692657,0.25578210017655595,0.3847485752822893,0.10869777726286699,35665,-4.967830181121826,-16.977693220678237,-17.062814199211516,-24.43614387512207,-18.061520852739584,-15.937827037961506,1.6902199225326398,35665,23.490509033203125,6.806317989994601,6.561008494760155,-0.7685102820396423,5.939121440746864,7.437071553150421,1.3876971868789707,35665,8.313188552856445,-10.171375227536661,-10.439074450339115,-17.200927734375,-11.188438646151225,-9.563338727675866,1.9564768827680652,"Lonar, Индия",ejecta,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,110204,0.3989500105381012,0.21770114265098958,0.22170595754777273,0.010940000414848328,0.20023820416318502,0.24115448160404482,0.04182580857121386,110204,0.3858666718006134,0.16095553081866446,0.15922003292978656,0.009636841714382172,0.14167531414966583,0.18062872689839998,0.037299051640230334,110204,0.4961499869823456,0.11242719676208478,0.10646414711401131,0.030060000717639923,0.08886556915239296,0.1298417632287269,0.0353387344684933,110204,0.45879998803138733,0.23111741357479362,0.23730374149767783,0.013799999840557575,0.21391901748439363,0.25689764983502195,0.04386417556206069,110204,610,572.4061763544004,571,540,561.9999999999978,584.9999999999995,14.450039216640842,110204,0.5591333678825444,0.031062463527209278,0.029289303259286602,-0.4186837767775296,-0.021471064035263016,0.08006196341530353,0.07860901597963993,110204,0.7994953004979113,0.3436016508317624,0.35543793170330323,-0.39869280860089196,0.2773233484770153,0.43348909357107684,0.1446023025480622,110204,2.5687663555145264,-17.366181812063576,-17.62736400665971,-31.954492568969727,-18.37347438145853,-16.378131778654122,2.3731511970037706,110204,22.476604461669922,7.6398817257016995,7.437193720203137,-0.6459147334098816,6.812733134455127,8.185538559654756,1.5678504458813753,110204,14.210565567016602,-9.726300085317396,-10.127651821016896,-24.562469482421875,-10.620441030302388,-9.381483898255933,2.8527729161720736,"Lonar, Индия",plain,"{""type"":""MultiPoint"",""coordinates"":[]}"
